Ticket Class,Ticket Priority,Ticket Number,Ticket Status,Ticket Status Original,Opened Date,Hostname,OS Type,Ticket Summary,Queue ID,Ticket Resolved Date,Resolution Code,Resolution Text,Ticket Closed Date,Call code,Reported By,Executed Automata,Recommended Automata,Actionable,Assignment Queue,Autogenerated,Automation Engine,Business Application,Closure Code,Sub Category,Target Finish Date,Time to resolve (min),Category,Alert Key,Comments & Work Notes
"INCIDENT","2","IN89157912","IN PROGRESS","IN PROGRESS","Nov 16, 2025 4:30 AM","fgceogqto405","VMWARE","fgceogqto405 08-CPU load is high on processor UNIXOVERALLCPU. Threshold is 85.00 - Percent usage 96","K-PLTools-AIOPs-Americas-L2",,"UNKNOWN","",,"Event Management","x","","cpu-high-handler","Y","Y","Y",,"Payment Processing","",,,,"cpu-high-handler","cnn_enn_vsve_ckv",
"INCIDENT","1","IN88258016","IN PROGRESS","IN PROGRESS","Nov 16, 2025 1:00 AM","fgkdoqtqohif5","LINUX","acme /dev/PSYIXPRD::/PRD: : File system usage exceeded major threshold","K-QQM-VV-QOM-MRJ-OCSRM","Nov 16, 2025 1:05 AM","UNKNOWN","",,"EVENTMANAGEMENT","x","","disk-handler","Y","Y","Y",1,"Internet Banking","",,,5,"disk-handler","cnn_hqq_i42u_nkpsv",
"INCIDENT","2","IN71887046","QUEUED","QUEUED","Nov 15, 2025 7:06 PM","ngfed139","LINUX","edd#ledcb795#SAP: PA1-sappa1as01_PA1_00:Ins:PA1: an alert of class:  occured. Process Execute InfoPa","K-QWQ-KP-FQR-OFF-DCF-QCN-CH-FCP",,"UNKNOWN","",,"EVENTMANAGEMENT","x","","application-handler","Y","Y","Y",0,,"",,,,"application-handler","gff_cneeoq_iqc6_owqcn",
"INCIDENT","2","IN71887860","QUEUED","QUEUED","Nov 15, 2025 6:06 PM","ngfed139","LINUX","edd#ledcb795#SAP: PA1-sappa1as01_PA1_00:Ins:PA1: an alert of class:  occured. Process Execute InfoPa","K-QWQ-KP-FQR-OFF-DCF-QCN-CH-FCP",,"UNKNOWN","",,"EVENTMANAGEMENT","x","","application-handler","Y","Y","Y",0,,"",,,,"application-handler","gff_cneeoq_iqc6_owqcn",
"INCIDENT","2","IN71841189","SLA HOLD","SLAHOLD","Nov 15, 2025 2:03 PM",,,"[AST] i-Book&RnR Api prd.allocation-api.8080 - kong-prd-booking-66d75484d7-nwpk4 P99 response time is critical > 50s during last 10 minutes","K-QWQ-NN-FQR-OFF-DCF-CEOG-N6QJKNNKPI",,"UNKNOWN","",,"EVENTMANAGEMENT","x","","application-handler","Y","Y","Y",0,,"",,,,"application-handler",,
"INCIDENT","1","IN88124792","QUEUED","QUEUED","Nov 15, 2025 1:46 PM","fgceogqtg77","LINUX","acme#Reports that for node RZ:EHQDBSKO-acme_efbdnftwf33:RDB the warning message with Message ID ORA-165","K-QQM-KP-FCR-FDO-CEOG-MPC",,"UNKNOWN","",,"EVENTMANAGEMENT","x","","database-handler","Y","Y","Y",1,"My web application","",,,,"database-handler","cnn_fkqmqn_ipxe_mpcpce",
"INCIDENT","2","IN71885290","QUEUED","QUEUED","Nov 15, 2025 9:08 AM","ngfed139","LINUX","edd#ledcb795#SAP: PA1-sappa1as01_PA1_00:Ins:PA1: an alert of class:  occured. Process Execute InfoPa","K-QWQ-KP-FQR-OFF-DCF-QCN-CH-FCP",,"UNKNOWN","",,"EVENTMANAGEMENT","x","","application-handler","Y","Y","Y",0,,"",,,,"application-handler","gff_cneeoq_iqc6_owqcn",
"INCIDENT","2","IN88113366","IN PROGRESS","INPROG","Nov 15, 2025 7:59 AM","fgceogqt423","UNIX","acme#Oracle Tablespace CORE_DATA on Node RZ:AID-acme_efbdnftw089:RDB has only 9.99 Percent free Space l","K-QQM-KP-FCR-FDO-CEOG-MPC",,"UNKNOWN","",,"EVENTMANAGEMENT","x","","database-handler","Y","Y","Y",1,"My web application","",,,,"database-handler","cnn_nmimpc_ipx8_mpcpce",
"INCIDENT","1","IN89258376","IN PROGRESS","IN PROGRESS","Nov 14, 2025 8:30 PM","fgceogqth98","LINUX","#fgceogqth98#CPU load is high on processor UNIXOVERALLCPU. Threshold is 98.00 - Percent usage is","K-PLTools-AIOPs-Americas-L2",,"UNKNOWN","",,"EVENTMANAGEMENT","x","","cpu-high-handler","Y","Y","Y",,"Payment Processing","",,,,"cpu-high-handler","cnn_ens_vsve_ckv",
"INCIDENT","1","IN89258377","IN PROGRESS","IN PROGRESS","Nov 14, 2025 11:41 AM","fgceogqth98","LINUX","fgceogqth98: redhat- High space used (90%. 2125 MB free) for /prod/TSMfile1 Attention","K-PLTools-AIOPs-Americas-L2",,"UNKNOWN","alive event sent from ITM/Netcool to secure that the systems functions End To End",,"Event Management","x","","disk-handler","Y","Y","Y",,"Payment Processing","",,,,"disk-handler","cnn_en_vsve_ckv",
"INCIDENT","2","IN86651832","IN PROGRESS","IN PROGRESS","Nov 13, 2025 9:07 PM","fgkdoqtpjcl52","WINDOWS","WARNING: Memory usage was 85.20 % (Available: 5089.21 MB, Total: 34355.13 MB, Free: 5089.21 MB, Used: 29265.92 MB)","K-QWQ-KP-FQR-QOF-SPK-DCSQCN",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","high-memory-swap-space-handler","Y","Y","Y",0,"Internet Banking","",,,,"high-memory-swap-space-handler","cnn_fqmqneg_i40h_owqcn_igp",
"INCIDENT","2","IN71730438","IN PROGRESS","INPROG","Nov 13, 2025 7:20 PM",,,"i-Book&RnR Api prd.booking-api-v3.8080 throwing HTTP5XX Exceptions > 10/m during for the last 15 minutes","K-QWQ-HP-QNV-QNV-QN7-ECCQ",,"UNKNOWN","",,"EVENTMANAGEMENT","x","","application-handler","Y","Y","Y",0,,"",,,,"application-handler",,
